class,subclass,level,feature_name,feature_type,short_rules,tags,notes
Artificer,Battle Smith,9,Arcane Jolt,subclass_feature,"When you or your defender hit a target, you can channel stored energy to deal extra damage or heal a nearby ally.","damage,healing,triggered",
Artificer,Alchemist,15,Chemical Mastery,subclass_feature,You gain strong resistances to acid and poison and can create powerful restorative or damaging concoctions with little effort.,"capstone,resistance,alchemy",
Artificer,Artillerist,15,Fortified Position,subclass_feature,"You can maintain more than one cannon at once, and allies near your emplacements gain cover or other defensive benefits.","defense,positioning,turret,capstone",
Artificer,Battle Smith,15,Improved Defender,subclass_feature,"Your steel defender becomes tougher and more punishing to enemies, and your jolts grow stronger.","companion,defense,capstone",
Barbarian,Path of the Berserker,3,Frenzy,subclass_feature,"When you enter a rage you can choose to fight in a frenzied state, later making extra attacks at the cost of exhausting yourself once the rage ends.","offense,exhaustion","Based on the Berserker path from the 5e SRD / Open5e, paraphrased."
Barbarian,Path of the Juggernaut,3,Crashing Charge,subclass_feature,When you move a short distance in a straight line and hit with a melee attack you can drive your full weight into the blow to deal extra damage or knock the target off balance.,"offense,control,mobility",Based on the Juggernaut path from Open5e style content; exact distance and damage scaling can follow your table.
Barbarian,Path of the Juggernaut,3,Iron Frame,subclass_feature,Your build and stance make you hard to push around giving you a strong bonus to resist being shoved knocked prone or forcibly moved.,"defense,stability",Represents a low center of gravity and trained bracing techniques.
Barbarian,Path of Booming Magnificence,3,Resonant Roar,subclass_feature,Your battle shouts carry explosive force allowing you to unleash a thunderous cry that rattles foes and can damage or deafen creatures in front of you.,"thunder,area,offense",A cone or line of thunder damage with a save to resist; paraphrased from sonic themed barbarian paths.
Barbarian,Path of Booming Magnificence,3,Echoing Strikes,subclass_feature,While raging your weapon blows hum with sound adding a small amount of thunder damage whenever you hit once per turn.,"offense,thunder",Bonus damage is modest but stacks with normal rage damage.
Barbarian,Path of Hellfire,3,Infernal Rage,subclass_feature,When you rage a corona of heat wraps around you burning nearby foes for a small amount of fire damage the first time they strike you or you hit them each turn.,"fire,offense,defense",Paraphrased from demonic or hellfire themed barbarian options.
Barbarian,Path of Hellfire,3,Ashen Endurance,subclass_feature,Your body endures searing temperatures giving you resistance to fire damage and advantage on checks to endure harsh heat.,"defense,environment",Resistance may start limited and grow stronger at later levels if desired.
Barbarian,Path of Mistwood,3,Mistwalker,subclass_feature,You can call a thin mist around yourself while raging lightly obscuring your position and making it easier to slip between foes and trees.,"stealth,defense,environment",The mist is localized and primarily helps you avoid ranged attacks and tracking.
Barbarian,Path of Mistwood,3,Forest Hunter,subclass_feature,You gain an edge when fighting in forests or natural terrain gaining bonuses to track stalk or ambush creatures there.,"tracking,environment,utility",Applies to Survival or similar checks and initiative in your favored terrain.
Barbarian,Path of the Dragon,3,Draconic Ferocity,subclass_feature,Choose a dragon type to emulate; your rage takes on that dragon's elemental theme and your weapon blows deal a little extra matching elemental damage once per turn.,"elemental,offense",Elemental type follows your chosen dragon such as fire cold lightning or acid.
Barbarian,Path of the Dragon,3,Scaled Hide,subclass_feature,Your skin toughens into faint scales while you rage granting a modest bonus to your armor class.,"defense,armor",Stacks with Unarmored Defense but should be balanced against heavy armor users.
Barbarian,Path of the Herald,3,War Banner,subclass_feature,You fight as a visible symbol of defiance; when you raise your weapon or banner allies near you gain a small bonus on saving throws against fear and charm.,"aura,defense,support",Paraphrased from war herald style barbarian paths that focus on leadership.
Barbarian,Path of the Herald,3,Rallying Cry,subclass_feature,As a bonus action you can shout encouragement letting a nearby ally regain a little courage and temporary hit points.,"support,temporary-hp",Uses per rest should be limited so it feels special.
Barbarian,Path of the Inner Eye,3,Battle Trance,subclass_feature,When you rage your senses expand and your instincts sharpen granting a bonus to initiative and making you less likely to be caught off guard.,"initiative,perception",Paraphrased from introspective psychic themed barbarian paths.
Barbarian,Path of the Inner Eye,3,Insightful Strikes,subclass_feature,You learn to read an enemy's movements letting you occasionally add a small bonus to an attack roll or damage roll once per turn against a studied foe.,"offense,precision",Represents prediction rather than magic; the bonus remains modest.
Barbarian,Path of Thorns,3,Thorned Hide,subclass_feature,Your skin sprouts small spines or hardened ridges while you rage causing creatures that strike you in melee to suffer a little piercing damage.,"defense,retaliation,nature",Damage remains small but adds up over many hits.
Barbarian,Path of Thorns,3,Briar Step,subclass_feature,You can leave behind patches of thorny growth as you move turning parts of the ground into painful difficult terrain for your enemies.,"control,terrain",Creatures that move through the area take minor damage or risk slowed movement.
Barbarian,Path of the Berserker,6,Mindless Rage,subclass_feature,"While raging your fury shields your thoughts, preventing charm or fear from affecting you as long as the rage lasts.","defense,mental",Existing charm or fear effects are suspended while the rage is active.
Barbarian,Path of the Juggernaut,6,Unstoppable Advance,subclass_feature,While raging you can plow through difficult terrain and crowds treating many obstacles as less hindering and pushing aside creatures smaller than you when you move through their space.,"mobility,control",Creatures can often choose to get out of your way rather than be shoved.
Barbarian,Path of Booming Magnificence,6,Booming Guard,subclass_feature,You can wrap yourself or an ally in vibrating air so that if a protected creature is struck in melee a burst of sound punishes the attacker.,"defense,thunder,reaction",Use as a reaction or limited feature; attackers take thunder damage on a hit.
Barbarian,Path of Hellfire,6,Blazing Step,subclass_feature,You can stride through flame or molten ground with little harm and briefly leave burning footprints that scorch creatures who follow.,"mobility,fire,control",Treat hazardous fire terrain as less dangerous for you while raging.
Barbarian,Path of Mistwood,6,Grasping Vines,subclass_feature,With a shout you can cause ghostly roots and vines to lash out from the ground briefly restraining or slowing enemies in a small area.,"control,area,nature",Targets make a saving throw to avoid being restrained or having their speed reduced.
Barbarian,Path of the Dragon,6,Draconic Roar,subclass_feature,You can unleash a dragonlike shout that may frighten or stagger creatures in a cone in front of you.,"area,fear,control",Creatures make a saving throw or become frightened or otherwise penalized briefly.
Barbarian,Path of the Herald,6,Guiding Presence,subclass_feature,Your presence on the battlefield sharpens allies' focus giving them a small bonus to initiative or certain attack rolls while they remain close to you.,"aura,support",The aura radius should stay modest to keep positioning meaningful.
Barbarian,Path of the Inner Eye,6,Foresight of Pain,subclass_feature,You sometimes glimpse how an attack will land granting you a reaction you can use to reduce damage against yourself or an ally you can see.,"defense,reaction",Functionally similar to a limited damage reduction or resistance feature.
Barbarian,Path of Thorns,6,Grasping Brambles,subclass_feature,With a gesture or stomp you can cause thorny vines to surge up in a small area potentially restraining enemies that fail to break free.,"control,area,nature",Targets make a saving throw to avoid being restrained or take reduced effects.
Barbarian,Path of the Berserker,10,Intimidating Presence,subclass_feature,"You can focus your towering rage on a creature, forcing it to steel its nerves or become cowed by you for a short time.","control,fear",Targets resist with a saving throw; repeated use usually affects only one creature at a time.
Barbarian,Path of the Juggernaut,10,Earthshaking Impact,subclass_feature,When you end a powerful leap or charge you can slam the ground or a target causing a brief tremor that may knock nearby foes prone.,"area,control",Creatures in a small radius make a saving throw or fall prone; damage can be modest.
Barbarian,Path of Booming Magnificence,10,Shattering Bellow,subclass_feature,You can loose a deeper amplified roar that cracks stone weakens barriers and batters a cluster of enemies around you.,"area,object-damage,offense",Primarily for damaging structures and groups; creatures save to resist or take reduced damage.
Barbarian,Path of Hellfire,10,Eruption Strike,subclass_feature,By driving your weapon into the earth or a foe you can trigger a burst of flame that erupts in a small radius around the impact point.,"area,offense,fire",Creatures in the burst must save or take fire damage; good for clustered enemies.
Barbarian,Path of Mistwood,10,Hidden in the Haze,subclass_feature,While obscured by mist or foliage you are exceptionally hard to pin down gaining a strong benefit to Stealth and sometimes vanishing from view between attacks.,"stealth,defense",You might gain advantage on Stealth and impose disadvantage on attacks from distant foes.
Barbarian,Path of the Dragon,10,Elemental Breath,subclass_feature,You gain a limited use breath style attack that releases a line or cone of your chosen element dealing damage that scales with your level.,"area,offense,elemental",Usable a small number of times per rest; damage similar to moderate area spells.
Barbarian,Path of the Herald,10,Stand Firm,subclass_feature,You can plant your feet and call for others to hold the line granting nearby allies a brief boost to Armor Class or saving throws while you remain in place.,"defense,aura,stance",Often framed as a limited use stance with clear start and end.
Barbarian,Path of the Inner Eye,10,Piercing Perception,subclass_feature,Your awareness cuts through deception granting a strong benefit on checks to see through illusions lies or hidden threats.,"perception,insight",Model as advantage or a flat bonus on key Perception and Insight checks.
Barbarian,Path of Thorns,10,Crown of Spikes,subclass_feature,You can sprout a more dramatic thorny growth around your shoulders and arms boosting your ability to climb and making it dangerous for foes to grapple you.,"defense,utility",Attackers that grapple you may take damage or suffer penalties.
Barbarian,Path of the Berserker,14,Retaliation,subclass_feature,When a creature within reach harms you you can lash out using your reaction to strike back immediately.,"reaction,offense",Only functions against creatures that deal damage to you while they are within your melee reach.
Barbarian,Path of the Juggernaut,14,Immovable Resolve,subclass_feature,Your sheer will and mass let you stand firm greatly reducing forced movement and granting nearby allies a bonus against effects that would shove drag or knock them down.,"aura,defense",You personally may ignore or cut forced movement and grant allies a saving throw bonus.
Barbarian,Path of Booming Magnificence,14,Living Thunderhead,subclass_feature,In the height of your rage you become the eye of a storm gaining resistance to thunder damage and causing repeated low grade thunder blasts around you each round.,"aura,thunder,offense,defense",Foes who stay close risk ongoing thunder damage while you are raging.
Barbarian,Path of Hellfire,14,Infernal Apotheosis,subclass_feature,In your most furious rages you briefly take on a demonic aspect sprouting smoldering horns and a burning gaze that boosts your resilience and terrifies onlookers.,"capstone,defense,fear,fire",May grant temporary hit points resistances and a frightful presence style effect.
Barbarian,Path of Mistwood,14,Avatar of the Wild,subclass_feature,When your fury peaks the forest itself seems to answer; nearby undergrowth thickens stones shift and animals stir granting you cover and hampering enemies who close in.,"aura,control,nature",Treated as difficult terrain for enemies with light cover benefits for you and allies.
Barbarian,Path of the Dragon,14,Draconic Resilience,subclass_feature,Your connection to dragonkind hardens your body granting you broad resistance to your chosen element and letting you stay standing through massive blows that would fell others.,"defense,resistance,capstone",May interact with Indomitable Might and rage resistance for a very sturdy tank.
Barbarian,Path of the Herald,14,Heroic Standard,subclass_feature,In your most intense rages your presence becomes legendary allowing you to dramatically bolster allies' attacks and resolve during a critical clash.,"capstone,buffs",Use sparingly as a powerful once per rest or day style battle anthem.
Barbarian,Path of the Inner Eye,14,Moment of Perfect Clarity,subclass_feature,At the height of your rage you can briefly act with almost supernatural insight treating a single roll as if you had rolled very high on the die.,"capstone,burst-power",Good for turning one crucial attack saving throw or ability check in your favor.
Barbarian,Path of Thorns,14,Heart of the Briar,subclass_feature,You embody the cruelty of tangled undergrowth becoming difficult to corner while enemies that linger near you are slowly cut and torn by spectral thorns.,"aura,damage-over-time,nature",Treat as a small repeating damage effect to adjacent foes while you rage.
Bard,College of Lore,3,Bonus Proficiencies,subclass_feature,"You study widely, gaining three extra skill proficiencies of your choice.","skills,utility",Represents the lore bard's broad education.
Bard,College of Lore,3,Cutting Words,subclass_feature,"You can spend a Bardic Inspiration die as a reaction to subtract the roll from an enemy's attack, ability check, or damage roll.","reaction,debuff,defense",Uses your Bardic Inspiration dice as a defensive or disruptive tool.
Bard,College of Echoes,3,Echo Sense,subclass_feature,"Your attunement to sound grants you a short radius of blindsight while you can hear, letting you sense creatures nearby even in darkness.","perception,blindsight,scouting",Exact range and interaction with other senses should be set at your table.
Bard,College of Echoes,3,Shaped Sound,subclass_feature,"You can bend, dampen, or carry sounds in a small area, allowing you to hush loud noises, throw your voice, or subtly alter speech and music.","illusion,social,stealth",Works best as a flexible narrative tool; DM adjudicates limits.
Bard,College of Investigation,3,Investigative Training,subclass_feature,"You gain proficiency in Insight and two additional skills chosen from investigative or social talents, such as Investigation or Deception.","skills,utility",The exact skill list can mirror the source material or be agreed with the DM.
Bard,College of Investigation,3,Marked Suspect,subclass_feature,"You can mark a creature you study, gaining a bonus to checks to track, recall information about, or notice that creature and its actions.","tracking,utility","This mark is thematic, not magical; it represents careful observation."
Bard,College of Shadows,3,Shadow Initiate,subclass_feature,"You gain proficiency in Stealth and two other skills of your choice, leaning into espionage, disguise, or acrobatics.","skills,stealth",Inspired by the stealth training shown in Shadow-focused colleges.
Bard,College of Shadows,3,Mantle of Gloom,subclass_feature,"When you begin a performance, you can veil yourself in unsettling dimness, granting you an edge on attempts to hide and making enemies uneasy around you.","stealth,debuff",Can be represented as advantage on certain Stealth checks and minor fear-flavored effects.
Bard,College of Sincerity,3,Entourage,subclass_feature,"You attract a small group of devoted followers who handle mundane tasks and loudly promote your reputation, though they avoid obvious danger.","followers,social","Followers are noncombatants; they provide narrative benefits, not extra combat bodies."
Bard,College of Sincerity,3,Polished Persona,subclass_feature,Your practiced charm grants you a notable bonus to checks made to influence or mislead friendly or indifferent creatures.,"social,skills",Model as a small flat bonus or advantage on certain Charisma checks.
Bard,College of Tactics,3,Combat Tactician,subclass_feature,"You gain proficiency with medium armor, shields, and one martial weapon, and you can flavor your Bardic Inspiration as shouted commands and signals.","armor,weapons,battlefield",Armor and weapon proficiencies help you stand closer to the front line.
Bard,College of Tactics,3,Commanding Inspiration,subclass_feature,"When a creature uses your Bardic Inspiration on an attack roll, you can also reposition that creature a short distance without provoking opportunity attacks.","mobility,support",Represents tactical orders and coordinated footwork.
Bard,College of the Cat,3,Catlike Proficiencies,subclass_feature,"You gain proficiency in Stealth and Deception and with thieves' tools, leaning into nimble and roguish work.","skills,stealth,rogue-like",Paraphrased from feline-themed bard colleges that focus on agility and trickery.
Bard,College of the Cat,3,Graceful Footwork,subclass_feature,"Your movement becomes lithe and precise, making it easier to avoid opportunity attacks and slip through tight spaces.","mobility,defense",Can be modeled as a bonus to Acrobatics and limited disengage-style movement.
Bard,College of Skalds,3,Battle Skald,subclass_feature,"You gain proficiency with medium armor and martial weapons, and your performances take the form of fierce war chants.","armor,weapons,offense",Lets you stand in the melee line beside warriors.
Bard,College of Skalds,3,Runesongs,subclass_feature,"You learn a small set of rune-like chants that you can invoke to grant short-lived bonuses to attack, damage, or resilience.","buffs,runes","Mechanically similar to small, themed buffs fueled by Bardic Inspiration or spell slots."
Bard,College of Lore,6,Additional Magical Secrets,subclass_feature,You learn two extra spells from any class list; they count as bard spells and do not reduce your normal spells known.,"spells,versatility",Spells must be of levels you can cast according to the bard spell table.
Bard,College of Echoes,6,Resonant Strikes,subclass_feature,"When you hit with a melee weapon attack, you can expend a spell slot to wreathe the blow in thunder, dealing extra thunder damage.","offense,thunder,spell-slot",Use scaling similar to smite-style features for bonus damage.
Bard,College of Investigation,6,Expose Weakness,subclass_feature,"After studying a foe, you can use a bonus action to call out its flaws, letting an ally add your Bardic Inspiration die to their next attack roll against it.","offense,support",Pairs well with allies who make a single high-impact attack.
Bard,College of Shadows,6,Step Between Lights,subclass_feature,"As a bonus action, you can briefly blur into shadow, teleporting a short distance between dimly lit or dark areas you can see.","mobility,teleport","Range should be modest, similar to other short-range teleport features."
Bard,College of Sincerity,6,Veiled Intent,subclass_feature,"Your body language and tone are carefully managed, imposing disadvantage on attempts to read your true motives or catch you in a lie.","defense,social",Affects Insight checks and similar effects that would see through you.
Bard,College of Tactics,6,Battlefield Maneuvers,subclass_feature,"You learn a small suite of tactical stunts, letting you spend Bardic Inspiration to grant allies reaction attacks, improved defenses, or coordinated movement.","reaction,support,control","You can model these after simple, toned-down maneuver-style options."
Bard,College of the Cat,6,Nine Lives,subclass_feature,"When you would take a big hit or fall, you can twist in the air to reduce the damage or land on your feet.","defense,survivability",Treat as a reaction that halves damage or lets you negate prone from a fall.
Bard,College of Skalds,6,Raging Chorus,subclass_feature,"Your battle songs can drive allies into a focused fury, giving them modest bonuses to damage or saves while they follow your rhythm.","offense,aura",Use conservative numbers so this stacks safely with barbarian-style rage.
Bard,College of Lore,14,Peerless Skill,subclass_feature,You can expend a Bardic Inspiration die to add it to your own ability check after rolling but before knowing the result.,"skills,self-buff","If the check still fails, the die is not spent."
Bard,College of Echoes,14,Reverberating Anthem,subclass_feature,"When a creature uses your Bardic Inspiration on an attack, you can cause a crash of sound that adds thunder damage and may knock the target prone.","offense,control,thunder","Targets that succeed on a save take reduced or no rider effect, per DM."
Bard,College of Investigation,14,Master Sleuth,subclass_feature,"Your deductions are uncanny; you can treat some failed Investigation or Insight checks as if you had rolled a middling result, and you are hard to mislead.","skills,defense",Implement as a minimum die result or advantage on related checks.
Bard,College of Shadows,14,Living Darkness,subclass_feature,"You can cloak an area in shadow that favors your allies, obscuring you from enemies while allowing your chosen companions to see clearly within.","control,defense,area",Behaves like a customized darkness field that your party can exploit.
Bard,College of Sincerity,14,Irresistible Appeal,subclass_feature,"You can deliver a performance so compelling that a limited number of creatures treat you as a trusted friend for a short time, barring obvious betrayal.","charm,control,social",Mechanically similar to a heightened charm effect with strong roleplay weight.
Bard,College of Tactics,14,Strategic Overwatch,subclass_feature,"While you maintain a performance, you can continually call out targets and openings, allowing nearby allies to add a small bonus to initiative and key combat checks.","aura,support",Best implemented as a modest aura that boosts allies in a limited radius.
Bard,College of the Cat,14,Pounce and Vanish,subclass_feature,"You can dart in to strike or cast, then melt back into cover, briefly turning nearly impossible to pin down.","hit-and-run,stealth",Works like a blend of extra movement and a short burst of improved hiding.
Bard,College of Skalds,14,Legend-Wrought Anthem,subclass_feature,"You can unleash a mighty saga that briefly turns your allies into the heroes of your tale, granting strong but short-lived boosts to attacks, movement, or resistance.","capstone,buffs",Best reserved for major battles as a once-per-rest or long-rest power.
Cleric,Life Domain,1,Life Domain Spells,subclass_feature,You gain a list of healing and protection themed spells that are always treated as prepared for you.,"spells,healing,support",The exact spell list follows your table's version of Life domain spells.
Cleric,Life Domain,1,Disciple of Life,subclass_feature,Your healing magic is especially effective; whenever you restore hit points with a spell of 1st level or higher the target regains extra hit points.,"healing,support",Extra healing scales with spell level in the SRD; implement as a small flat bonus.
Cleric,Blood Domain,1,Blood Domain Spells,subclass_feature,"You add a set of blood and life force themed spells to your domain spell list, focusing on control, debilitation, and vitality manipulation.","spells,control,theme-blood","Spell list should emphasize bleeding, binding, and vitality magic."
Cleric,Blood Domain,1,Sanguine Sight,subclass_feature,"You gain an intuitive sense for injuries and living auras granting advantage on checks to assess wounds or determine whether a creature is poisoned, diseased, or near death.","diagnostic,utility",Can also help you identify creatures faking injury or death.
Cleric,Hunt Domain,1,Hunt Domain Spells,subclass_feature,"You gain a suite of spells focused on tracking, mobility, and striking quarry at range.","spells,tracking,offense",Include spells that support pursuit and ranged combat.
Cleric,Hunt Domain,1,Hunter's Blessing,subclass_feature,"When you choose a creature as your quarry you gain a small bonus to checks made to track, notice, or identify it and a modest damage boost the first time you hit it each round.","tracking,offense",Quarry can be chosen as a bonus action or as part of a prayer or ritual.
Cleric,Mercy Domain,1,Mercy Domain Spells,subclass_feature,"Your domain spells focus on protection, restoration, and turning away harm rather than dealing it.","spells,healing,protection",Include condition removal and sanctuary-style magic.
Cleric,Mercy Domain,1,Healer's Hands,subclass_feature,You excel at tending wounds; you gain a bonus when stabilizing creatures and when using healing spells to bring a creature from 0 hit points back to fighting shape.,"healing,support",Could grant extra healing or advantage on Medicine checks.
Cleric,Portal Domain,1,Portal Domain Spells,subclass_feature,"Your spell list includes magic that manipulates space, such as short teleports, dimensional locks, and divinations about distant places.","spells,teleportation,utility",Focus on spells that bend distance or protect against planar travel.
Cleric,Portal Domain,1,Gate Sense,subclass_feature,"You can intuit the presence of planar rifts, teleportation circles, and other stable portals within a moderate distance and gain a bonus to checks to understand or disable them.","sensing,planes",Useful in planar campaigns and dungeon crawls built around portals.
Cleric,Serpent Domain,1,Serpent Domain Spells,subclass_feature,"Your domain spells center on poison, charm, and serpentine themes.","spells,poison,charm","Include spells that restrain, poison, or beguile foes."
Cleric,Serpent Domain,1,Serpent's Grace,subclass_feature,"You gain a lithe, coiled poise granting you a small bonus to Dexterity saving throws and checks made to escape grapples or restraints.","defense,mobility",Represents serpentlike agility.
Cleric,Shadow Domain,1,Shadow Domain Spells,subclass_feature,"You gain access to spells that manipulate darkness, fear, and necrotic energy.","spells,necrotic,control","Include darkness, shadowy movement, and fear magic."
Cleric,Shadow Domain,1,Cloak of Gloom,subclass_feature,"You can shroud yourself in dimness, granting a small bonus to Stealth checks and making you harder to hit at range while you remain in shadows or low light.","stealth,defense",The effect is subtle rather than full invisibility.
Cleric,Vermin Domain,1,Vermin Domain Spells,subclass_feature,"Your domain spells revolve around swarms, disease, and creeping natural decay.","spells,disease,swarm",Emphasize pest- and plague-like magic.
Cleric,Vermin Domain,1,Friend of Crawling Things,subclass_feature,"You can influence small vermin and insects, gaining a bonus on checks to handle or direct them and advantage when using them for simple scouting or delivery tasks.","utility,scouting","Not true animal friendship, but strong narrative control over pests."
Cleric,Wind Domain,1,Wind Domain Spells,subclass_feature,"Your domain spells emphasize movement, flight, and air manipulation.","spells,air,movement","Include spells that push, lift, or buffet creatures with wind."
Cleric,Wind Domain,1,Blessing of the Breeze,subclass_feature,"A constant faint wind favors you, granting a small bonus to movement speed and checks made to keep your footing or avoid being knocked down.","mobility,defense",Represents agile footing and wind at your back.
Cleric,Demise Domain,1,Demise Domain Spells,subclass_feature,"Your domain spells center on death, decay, and the management of souls.","spells,death,necrotic","Includes magic that slays, weakens, or communicates with the dead."
Cleric,Demise Domain,1,Touch of the Grave,subclass_feature,Your touch carries a hint of the grave; you gain a minor necrotic damage option in close combat and a bonus to checks dealing with corpses or undead lore.,"offense,necrotic,lore",Can be modeled as a simple necrotic damage cantrip-like ability.
Cleric,Mischief Domain,1,Mischief Domain Spells,subclass_feature,"You gain a playful spell list focused on illusions, trickery, and chaos.","spells,illusion,trickery",Include confusion-like effects and clever movement magic.
Cleric,Mischief Domain,1,Prankster's Guile,subclass_feature,You gain a bonus on checks to deceive or misdirect others and on checks to escape bindings or slip from notice in a crowd.,"skills,stealth,social","A light-footed, silver-tongued style of cleric."
Cleric,Storm Domain,1,Storm Domain Spells,subclass_feature,"Your domain spells emphasize thunder, lightning, and weather control.","spells,lightning,thunder",Comparable in feel to the Tempest-style storm cleric lists.
Cleric,Storm Domain,1,Thunder's Blessing,subclass_feature,You gain resistance to thunder damage and a minor bonus to checks made to keep your footing during violent weather.,"defense,environment",Sets up your connection to stormy conditions.
Cleric,Life Domain,2,Channel Divinity: Preserve Life,subclass_feature,"You can present your holy symbol to share a pool of healing among wounded creatures in range, but this power cannot raise a target above half its hit point maximum.","channel-divinity,healing,area",Pool size scales with cleric level; follows the SRD Life domain structure.
Cleric,Blood Domain,2,Channel Divinity: Blood Binding,subclass_feature,"You can invoke a creature's own blood to hinder it, forcing a foe you can see to struggle against being restrained or having its speed drastically reduced for a short time.","channel-divinity,control",Target makes a saving throw; on a success the effect is reduced or negated.
Cleric,Hunt Domain,2,Channel Divinity: Sacred Mark,subclass_feature,"You can mark a creature with divine insight, making it easier for you and your allies to follow, strike, and pin down that target for a short duration.","channel-divinity,offense,support",Often represented as giving advantage or a damage bonus against the marked target.
Cleric,Mercy Domain,2,Channel Divinity: Merciful Intercession,subclass_feature,"You can intercede when a creature would suffer a serious blow, reducing the damage taken and possibly ending a harmful condition.","channel-divinity,defense,healing",Use as a reaction; best suited for turning lethal hits into survivable ones.
Cleric,Portal Domain,2,Channel Divinity: Step Through,subclass_feature,You can briefly fold space allowing yourself or a nearby ally to teleport a short distance to a point you can see.,"channel-divinity,teleportation,mobility",Limited-use repositioning tool; keep range modest to maintain balance.
Cleric,Serpent Domain,2,Channel Divinity: Venomous Rebuke,subclass_feature,"When a creature you can see harms you or an ally within reach you can call on your god to infuse the attacker with divine venom, forcing a saving throw or inflicting poison damage and possibly the poisoned condition.","channel-divinity,poison,retaliation",Functions as a reactive punishment effect.
Cleric,Shadow Domain,2,Channel Divinity: Grasping Shadows,subclass_feature,"You call forth tendrils of darkness that lash at creatures in an area, slowing or lightly restraining them if they fail a saving throw.","channel-divinity,control,area",Good for setting up area damage or retreats.
Cleric,Vermin Domain,2,Channel Divinity: Swarmcall,subclass_feature,"You can summon a chittering mass of vermin to harry a creature or fill a small area, imposing distraction and possible damage on those who end their turns within the swarm.","channel-divinity,area,control",Swarm may obscure vision slightly and interfere with concentration.
Cleric,Wind Domain,2,Channel Divinity: Gusting Ward,subclass_feature,You can call up a powerful swirl of air to deflect ranged attacks or push creatures away from you or an ally for a short time.,"channel-divinity,defense,control",Great against archers or tight melee formations.
Cleric,Demise Domain,2,Channel Divinity: Harvest Soul,subclass_feature,"When a nearby creature dies you can channel its departing essence, regaining a small amount of hit points or empowering your next spell.","channel-divinity,resource,healing",Should not work on constructs or creatures without souls at the DM's discretion.
Cleric,Mischief Domain,2,Channel Divinity: Divine Prank,subclass_feature,"You can twist fate in a small but chaotic way, imposing disadvantage on a foe's important roll or forcing a reroll at an inconvenient moment.","channel-divinity,control,luck",Best used to disrupt enemy crits or key saving throws.
Cleric,Storm Domain,2,Channel Divinity: Wrath of the Storm,subclass_feature,When a creature you can see hits you with an attack you can respond with a burst of lightning or thunder damage.,"channel-divinity,offense,reaction",Targets usually get a saving throw to halve or avoid the damage.
Cleric,Life Domain,6,Blessed Healer,subclass_feature,When you cast a healing spell on others you also regain a small amount of hit points yourself.,"healing,self-sustain",Encourages you to heal allies in the thick of battle.
Cleric,Blood Domain,6,Crimson Ward,subclass_feature,By offering a trace of blood you can grant an ally a ward that absorbs some incoming damage and briefly strengthens them when it breaks.,"defense,temporary-hp",Model as temporary hit points plus a small bonus when the ward is exhausted.
Cleric,Hunt Domain,6,Relentless Pursuit,subclass_feature,You ignore some penalties from difficult terrain when chasing your marked prey and gain a speed bonus when moving toward it.,"mobility,chase",Works particularly well in outdoor or large-scale encounters.
Cleric,Mercy Domain,6,Aura of Calm,subclass_feature,"You radiate a quiet presence that helps allies resist fear and rage, granting them a bonus on saving throws against being frightened or forced into hostile frenzies while near you.","aura,mental-defense",Also tones down some emotional effects in social scenes at the DM's discretion.
